,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,postal_code,region_id
0,AE-2016-1308551,2016-09-28,2016-10-02,Second Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,0.3,,9954.0
1,AE-2016-1522857,2016-09-04,2016-09-09,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,0.5,,4792.0
2,AE-2016-184765,2016-10-03,2016-10-07,Second Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,0.3,,19848.0
3,AE-2016-1878215,2016-09-15,2016-09-17,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,0.5,,1410.0
4,AE-2016-218276,2016-10-09,2016-10-12,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,0.5,,1826.0
5,AE-2016-2721839,2016-10-28,2016-10-31,Second Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,0.3,,3080.0
6,AE-2016-2956962,2016-09-06,2016-09-10,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,0.5,,3104.0
7,AE-2016-3088674,2016-09-25,2016-09-28,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,0.5,,9954.0
8,AE-2016-3720132,2016-09-11,2016-09-12,Second Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,0.3,,1410.0
9,AE-2016-4014678,2016-10-11,2016-10-15,Second Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,0.3,,1784.0
10,AE-2016-4021172,2016-09-16,2016-09-21,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,0.5,91941.0,4553.0
11,AE-2016-4351739,2016-09-15,2016-09-17,Second Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,0.3,,13480.0
12,AE-2016-9160,2016-10-03,2016-10-07,Standard Class,PO-8865,OFF-FEL-10001405,82.67,2,0.3,-157.09,,13836.0
13,AE-2016-9160,2016-10-03,2016-10-07,Standard Class,PO-8865,TEC-EPS-10004171,78.41,6,0.5,-88.99,,1826.0
14,AE-2018-1012394,2018-09-26,2018-10-01,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,4958.0
15,AE-2018-1015308,2018-09-15,2018-09-19,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,1573.0
16,AE-2018-1130,2018-10-14,2018-10-14,Same Day,EB-4110,FUR-BUS-10003055,224.75,6,0.45,-232.27,80013.0,4553.0
17,AE-2018-1130,2018-10-14,2018-10-14,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.25,-4.69,,2125.0
18,AE-2018-1164998,2018-12-23,2018-12-28,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,1573.0
19,AE-2018-1285567,2018-10-16,2018-10-19,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,2253.0
20,AE-2018-1302301,2018-10-21,2018-10-25,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,2163.0
21,AE-2018-1367772,2018-12-16,2018-12-16,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,98115.0,4553.0
22,AE-2018-1369130,2018-10-13,2018-10-15,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,5003.0
23,AE-2018-1530,2018-12-31,2019-01-03,Second Class,MY-7380,OFF-STI-10000114,16.67,2,0.3,-29.47,48066.0,1488.0
24,AE-2018-1530,2018-12-31,2019-01-03,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.3,-8.6,98115.0,4553.0
25,AE-2018-1693872,2018-10-29,2018-10-30,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,783.0
26,AE-2018-1762628,2018-11-10,2018-11-12,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,2038.0,5636.0
27,AE-2018-1799617,2018-09-25,2018-09-25,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,,2898.0
28,AE-2018-1835018,2018-09-29,2018-10-03,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,783.0
29,AE-2018-1842273,2018-12-19,2018-12-22,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,,2570.0
30,AE-2018-2026309,2018-12-27,2018-12-27,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,1138.0
31,AE-2018-2084864,2018-12-24,2018-12-29,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,19848.0
32,AE-2018-2131671,2018-11-11,2018-11-16,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,1410.0
33,AE-2018-2275669,2018-12-05,2018-12-08,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,783.0
34,AE-2018-2335913,2018-12-09,2018-12-14,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,,2570.0
35,AE-2018-2351053,2018-10-25,2018-10-28,Same Day,EB-4110,OFF-ACC-10004278,4.25,1,0.28,0.24,,53877.0
36,AE-2018-2544069,2018-12-16,2018-12-21,Same Day,MY-7380,OFF-STI-10000114,16.67,2,0.33,0.29,,7494.0
37,AE-2018-2561927,2018-12-20,2018-12-24,Second Class,MY-7380,OFF-TEN-10002817,6.97,1,0.33,0.29,,4792.0
38,AE-2018-2606207,2018-10-18,2018-10-21,Standard Class,EB-4110,FUR-BUS-10003055,224.75,6,0.48,0.44,47905.0,1488.0
