product_id,category,sub_category,product_name,product_cost_to_consumer
FUR-ADV-10000002,Furniture,Furnishings,"Advantus Photo Frame, Duo Pack",53.04
FUR-ADV-10000108,Furniture,Furnishings,"Advantus Clock, Erganomic",50.01
FUR-ADV-10000183,Furniture,Furnishings,"Advantus Photo Frame, Black",15.89
FUR-ADV-10000188,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic",24.99
FUR-ADV-10000190,Furniture,Furnishings,"Advantus Frame, Duo Pack",111.18
FUR-ADV-10000571,Furniture,Furnishings,"Advantus Frame, Erganomic",109.74
FUR-ADV-10000600,Furniture,Furnishings,"Advantus Clock, Duo Pack",51.45
FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",26.43
FUR-ADV-10001283,Furniture,Furnishings,"Advantus Frame, Black",33.34
FUR-ADV-10001440,Furniture,Furnishings,"Advantus Door Stop, Black",45.03
FUR-ADV-10001659,Furniture,Furnishings,"Advantus Light Bulb, Durable",17.1
FUR-ADV-10001855,Furniture,Furnishings,"Advantus Stacking Tray, Durable",26.37
FUR-ADV-10002329,Furniture,Furnishings,"Advantus Light Bulb, Erganomic",7.48
FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",15.48
FUR-ADV-10002632,Furniture,Furnishings,"Advantus Door Stop, Duo Pack",18.04
FUR-ADV-10002889,Furniture,Furnishings,"Advantus Clock, Durable",48.42
FUR-ADV-10003147,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic",23.4
FUR-ADV-10003326,Furniture,Furnishings,"Advantus Light Bulb, Black",20.07
FUR-ADV-10004159,Furniture,Furnishings,"Advantus Frame, Durable",43.26
FUR-ADV-10004223,Furniture,Furnishings,"Advantus Clock, Black",15.42
FUR-ADV-10004395,Furniture,Furnishings,"Advantus Door Stop, Durable",12.62
FUR-ADV-10004499,Furniture,Furnishings,"Advantus Photo Frame, Durable",50.01
FUR-ADV-10004718,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack",20.13
FUR-ADV-10004971,Furniture,Furnishings,"Advantus Door Stop, Erganomic",43.65
FUR-BAR-10000560,Furniture,Tables,"Barricks Round Table, with Bottom Storage",501.51
FUR-BAR-10000831,Furniture,Tables,"Barricks Training Table, Fully Assembled",319.77
FUR-BAR-10000946,Furniture,Tables,"Barricks Computer Table, with Bottom Storage",480.03
FUR-BAR-10001039,Furniture,Tables,"Barricks Coffee Table, Fully Assembled",121.19
FUR-BAR-10002449,Furniture,Tables,"Barricks Training Table, Adjustable Height",320.49
FUR-BAR-10002710,Furniture,Tables,"Barricks Coffee Table, Adjustable Height",91.11
FUR-BAR-10003465,Furniture,Tables,"Barricks Computer Table, Adjustable Height",142.62
FUR-BAR-10003532,Furniture,Tables,"Barricks Conference Table, Rectangular",271.39
FUR-BAR-10003576,Furniture,Tables,"Barricks Training Table, with Bottom Storage",318.3
FUR-BAR-10004434,Furniture,Tables,"Barricks Wood Table, Rectangular",514.5
FUR-BAR-10004553,Furniture,Tables,"Barricks Training Table, Rectangular",315.87
FUR-BAR-10004561,Furniture,Tables,"Barricks Wood Table, Fully Assembled",518.4
