order_id,return_date,return_quantity,reason_returned
AE-2019-1711936,2019-12-14,1,Not Given
AE-2019-2092798,2019-11-29,1,Not Given
AE-2019-2170363,2019-12-29,1,Not Given
AE-2019-2262642,2020-01-04,1,Not Given
AE-2019-2343602,2020-01-05,1,Not Given
AE-2019-288592,2019-12-28,1,Not Given
AE-2019-2952905,2019-12-18,1,Not Given
AE-2019-3001630,2020-01-17,1,Not Given
AE-2019-3369522,2019-11-29,1,Not Given
AE-2019-3800683,2019-12-29,1,Not Given
AE-2019-3959747,2019-12-17,1,Not Given
AE-2019-4016062,2019-12-18,1,Not Given
AE-2019-4579873,2020-01-09,1,Not Given
AE-2019-4844787,2019-11-30,1,Not Given
AE-2019-5196817,2019-12-31,1,Not Given
AE-2019-565656,2019-12-17,1,Not Given
AE-2019-5740368,2020-01-06,1,Not Given
AE-2019-5897638,2019-12-18,1,Not Given
AE-2019-637642,2020-01-16,1,Not Given
AE-2019-948131,2019-11-30,1,Not Given
AE-2020-1545977,2020-01-12,1,Not Given
AE-2020-300486,2020-02-01,1,Not Given
AE-2020-4272749,2020-01-17,1,Not Given
AE-2020-4850045,2020-01-16,1,Not Given
AG-2016-3024683,2016-12-14,1,Wrong Item
AG-2016-4817505,2016-12-06,1,Wrong Item
AG-2017-1275260,2017-06-04,1,Wrong Item
AG-2017-1506124,2017-09-10,1,Wrong Item
AG-2017-1508402,2017-08-19,1,Wrong Item
AG-2017-1961953,2017-05-21,1,Wrong Item
AG-2017-2040659,2017-07-05,1,Wrong Item
AG-2017-2045821,2017-06-12,1,Wrong Item
AG-2017-231367,2017-09-09,1,Wrong Item
AG-2017-2486629,2017-09-16,1,Wrong Item
AG-2017-2967943,2017-05-23,1,Wrong Item
AG-2017-2976497,2017-08-21,1,Wrong Item
AG-2017-3184900,2017-08-23,1,Wrong Item
AG-2017-319357,2017-02-04,1,Wrong Item
AG-2017-339849,2017-07-06,1,Wrong Item
AG-2017-3412680,2017-07-11,1,Wrong Item
AG-2017-3483297,2017-02-03,1,Wrong Item
AG-2017-3853756,2017-06-22,1,Wrong Item
AG-2017-3874129,2017-05-22,1,Wrong Item
AG-2017-4003370,2017-06-03,1,Wrong Item
AG-2017-4197788,2017-07-31,1,Wrong Item
AG-2017-4269105,2017-08-30,1,Wrong Item
AG-2017-4367637,2017-06-25,1,Wrong Item
AG-2017-4630,2017-06-10,1,Wrong Item
AG-2017-4658281,2017-05-26,1,Wrong Item
AG-2017-4659973,2017-08-02,1,Wrong Item
AG-2017-4699647,2017-08-04,1,Wrong Item
AG-2017-471923,2017-09-09,1,Wrong Item
AG-2017-4730149,2017-08-15,1,Wrong Item
AG-2017-5079771,2017-02-01,1,Wrong Item
AG-2017-878627,2017-07-03,1,Wrong Item
AG-2017-904143,2017-06-27,1,Wrong Item
AG-2018-1288706,2018-01-23,1,Not Needed
AG-2018-1575484,2018-02-04,1,Not Needed
AG-2018-1649313,2018-02-08,1,Not Needed
AG-2018-2040246,2018-01-18,1,Not Needed
AG-2018-2172150,2018-01-19,1,Not Needed
AG-2018-2417212,2018-02-08,1,Not Needed
AG-2018-2562811,2018-04-01,1,Not Needed
AG-2018-2590887,2018-03-12,1,Not Needed
