Customer,Customer Number,City Code
A Superior System,10000453,1
A&B,10000456,76
A&G,10000457,2
A&R Partners,10000458,43
A1 Datacom Supply,10000461,77
a2i,10000462,44
A2Z Solutions,10000466,94
A-2-Z Solutions,10000469,75
Aadast,10000471,3
Aaron D. Meyer & Associates,10000472,95
Aaron Products,10000473,96
A-ARVIN Laser Resources,10000474,42
AA-Wizard,10000475,62
Abacus Niagara,10000478,63
Abbotsbury,10000480,97
Abbott,10000481,45
Aberdeen,10000486,4
ABI TruTrac,10000488,5
AboveNet,10000496,6
Abplus,10000497,7
ABSolute,10000499,8
Absolute Magic,10000501,9
Abstract,10000502,10
AC Exchange,10001103,11
AC&E,10001263,12
Acacia,10001784,13
Acara,10001786,14
Acc Tonec,10001818,15
Accel Partners,10002114,16
Accent Interactive,10002115,17
Accent Systems,10002117,18
Access Point,10002128,19
AccessWare,10002136,20
Accidental,10002137,21
ACCPAC International,10002138,22
Accrue,10002139,23
Accton,10002140,24
AccuCom,10002142,25
ACCUCOMP,10002144,26
AccuLAN,10002149,27
Accumedic Systems,10002150,28
Ace Equipment,10002153,29
Acer,10002154,30
ACES Research,10002155,31
ACI,10002159,32
ACME Laboratories,10002161,33
ACRON,10002220,78
ACS,10002240,84
ACS  Shop,10002244,64
Acsior,10002412,34
ACT Laboratory,10002489,65
Action Systems,10002501,35
ActionWorld,10002506,98
ActivCard,10002520,36
Active,10002526,37
Active Data,10002709,99
Active Network Systems,10002746,46
Active Voice,10002765,66
ActiveC,10002964,79
activeDesign,10002969,85
Ad Agency,10003554,39
Ad-vantage,10003687,38
Age,10003720,86
Associates,10003749,40
Bechtel Corporation,10003795,67
"Beckman Instruments, Inc.",10003857,41
Beech Aircraft Corporation,10003882,1
Bell Canada Enterprises,10004207,2
Bendix Corporation,10004255,3
Benedict,10004256,94
Berkeley Design,10004302,68
Besicorp,10004516,4
Best Way! Imaging,10004602,5
Betacorp,10005006,95
Bezeq,10005043,6
BF Datacom,10005099,7
BH Feldman Consulting,10005236,8
Bibb Manufacturing Company,10005376,9
BidCast,10005620,10
Bien Logic,10005688,11
Big,10005810,12
Big Mountain Multi,10005861,13
Big Picture Technologies,10005919,14
Big Planet,10005922,15
Bigelow Sandford,10006037,69
BigJobs,10006093,47
Bitstream,10006805,70
Biz-comm,10006836,16
Bizmarts,10006846,96
BizNet Equity Management Trust (BEMT),10006848,87
BL Trading,10006862,71
Boott Cotton Mills Corporation,10006916,17
Borden Company,10006917,18
Boston and Albany Railroad Company,10006919,19
"Brazilian Traction, Light and Power Company",10006977,20
Brentano's,10006983,22
Bre-X,10007117,21
Brinco Ltd.,10007120,97
C & C  Design,10007121,48
C & J Engineering,10007122,72
C & M Distributors,10007123,73
C&C,10007134,23
C. Hoelzle Associates,10007163,24
C.O.F.,10007183,25
C3 Development,10007253,26
C3I,10007258,27
Cabco West,10007268,28
Cadtex,10007309,29
CAF Systemhaus,10007355,74
Cajun,10007448,30
CalComp,10007457,31
Caleidoscopio S.r.l.,10007468,32
Calypso,10007536,33
CAM Group,10007564,62
Cambio,10007566,49
Cam-Built Prpgramming Plus,10007577,88
Camelot IT,10007591,34
Camros,10007866,35
Canter,10008134,89
CAPCON,10008381,98
