Item Number,Product Group,Product Line,Product Sub Group,Product Type
10001,Beverages,Drink,Juice,Pure Juice Beverages
10002,Beverages,Drink,Flavored Drinks,Drinks
10003,Beverages,Drink,Flavored Drinks,Drinks
10004,Beverages,Drink,Soda,Carbonated Beverages
10005,Beverages,Drink,Soda,Carbonated Beverages
10006,Beverages,Drink,Soda,Carbonated Beverages
10007,Beverages,Drink,Soda,Carbonated Beverages
10008,Beverages,Drink,Juice,Pure Juice Beverages
10009,Beverages,Drink,Juice,Pure Juice Beverages
10010,Beverages,Drink,Juice,Pure Juice Beverages
10011,Beverages,Drink,Flavored Drinks,Drinks
10012,Breakfast Foods,Food,Cereal,Breakfast Foods
10013,Breakfast Foods,Food,Cereal,Breakfast Foods
10014,Breakfast Foods,Food,Cereal,Breakfast Foods
10015,Breakfast Foods,Food,Cereal,Breakfast Foods
10016,Canned Products,Food,Canned Vegetables,Vegetables
10017,Canned Products,Food,Canned Vegetables,Vegetables
10018,Canned Products,Food,Canned Vegetables,Vegetables
10019,Canned Products,Food,Soup,Canned Soup
10020,Canned Products,Food,Canned Vegetables,Vegetables
10021,Canned Products,Food,Soup,Canned Soup
10022,Canned Products,Food,Canned Vegetables,Vegetables
10023,Canned Products,Food,Soup,Canned Soup
10024,Canned Products,Food,Soup,Canned Soup
10025,Canned Products,Food,Soup,Canned Soup
10026,Canned Products,Food,Soup,Canned Soup
10027,Canned Products,Food,Soup,Canned Soup
10028,Canned Products,Food,Canned Vegetables,Vegetables
10029,Canned Products,Food,Soup,Canned Soup
10030,Canned Products,Food,Tuna,Canned Tuna
10031,Canned Products,Food,Tuna,Canned Tuna
10032,Canned Products,Food,Shrimp,Canned Shrimp
10033,Canned Products,Food,Anchovies,Canned Anchovies
10034,Canned Products,Food,Clams,Canned Clams
10035,Canned Products,Food,Oysters,Canned Oysters
10036,Canned Products,Food,Sardines,Canned Sardines
10037,Canned Products,Food,Soup,Canned Soup
10038,Canned Products,Food,Canned Fruit,Fruit
10039,Canned Products,Food,Canned Fruit,Fruit
